,Term,Attr Score
0,torsion,100.0
1,inguinal_hernia,6.0
2,dilated,5.0
3,inguinal_canal,3.0
4,versus,0.0
5,shoulder_girdle,0.0
6,oligemia,0.0
7,olfactory_groove,0.0
8,restrictive,0.0
9,smooth_muscle_tumor,0.0
10,retina,0.0
11,myxoid_liposarcoma,0.0
12,temperature,0.0
13,mucinous,0.0
14,horseshoe_kidney,0.0
15,monteggia_fracture,0.0
16,organ_system,0.0
17,skeletal_survey,0.0
18,infant,0.0
19,atlas,0.0
20,hirschsprung_disease,0.0
21,venous_flow,0.0
22,diaphyseal_fracture,0.0
23,hypoenhancing,0.0
24,shadowing,0.0
25,rounded,0.0
26,nasopharynx,0.0
27,duodenum,0.0
28,cutaneous,0.0
29,arteriovenous_malformation,0.0
30,incomplete_lissencephaly,0.0
31,graft,0.0
32,melanotic_schwannoma,0.0
33,reported,0.0
34,ultrasonography,0.0
35,cardiac_apex,0.0
36,viable,0.0
37,clubbing,0.0
38,axillary_artery,0.0
39,aspiration_of_fluid,0.0
40,posterior_vertebral_scalloping,0.0
41,gallbladder_wall,0.0
42,hypo,0.0
43,expiration,0.0
44,female_urethra,0.0
45,solitary_bone_cyst,0.0
46,sacrum,0.0
47,parenteral,0.0
48,pulmonary_hemorrhage,0.0
49,dysphagia,0.0
50,hilum,0.0
51,radial,0.0
52,serous_sac,0.0
53,sprengel_deformity,0.0
54,solid_and_papillary_epithelial_neoplasm,0.0
55,basilar_artery,0.0
56,axial_plane,0.0
57,oral_cavity,0.0
58,portable,0.0
59,pia_mater,0.0
60,diameter,0.0
61,susceptibility_artifact,0.0
62,epiglottitis,0.0
63,distended,0.0
64,healed,0.0
65,aerated,0.0
66,quadriceps_muscle,0.0
67,alignment,0.0
68,articular_cartilage,0.0
69,bearing,0.0
70,intramedullary_space,0.0
71,hepatitis,0.0
72,hypertrophy,0.0
73,smooth,0.0
74,graft_versus_host_disease,0.0
75,mitral_valve,0.0
76,fetal_hydrops,0.0
77,t2_hyperintensity,0.0
78,encephalomalacia,0.0
79,left_superior_intercostal_vein,0.0
80,monoarticular,0.0
81,congenital,0.0
82,partial_anomalous_pulmonary_venous_return,0.0
83,synthetic_graft,0.0
84,right_lateral_ventricle,0.0
85,satisfactory,0.0
86,sporadic,0.0
87,middle_cerebral_artery,0.0
88,retropharyngeal_space,0.0
89,small_intestine,0.0
90,probable,0.0
91,chemo,0.0
92,ground_glass_attenuation,0.0
93,t2,0.0
94,deltoid,0.0
95,staghorn_calculus,0.0
96,thyroid_cancer,0.0
97,polyarticular,0.0
98,sacral_region,0.0
99,mullerian_duct_cyst,0.0
100,inspiration,0.0
101,intravenous,0.0
102,larsen,0.0
103,hemangioma,0.0
104,longitudinal,0.0
105,demyelination,0.0
106,lymphatic_duct,0.0
107,abdominal_wall,0.0
108,orbital_pseudotumor,0.0
109,toddler_fracture,0.0
110,enterostomy,0.0
111,pericardium,0.0
112,caudate_nucleus,0.0
113,tunnel_view,0.0
114,beak_sign,0.0
115,high_risk,0.0
116,right_clavicle,0.0
117,ossification,0.0
118,intrapericardial,0.0
119,atherosclerosis,0.0
120,port,0.0
121,transverse_ligament,0.0
122,endotracheal,0.0
123,chemical_shift_artifact,0.0
124,barium,0.0
125,patellar_apex,0.0
126,neurocutaneous_syndrome,0.0
127,second_toe,0.0
128,lucent,0.0
