,Term,Attr Score
0,joint,100.0
1,acute,68.0
2,synostosis,65.0
3,abscess,50.0
4,peritoneal_cavity,42.0
5,hip_joint,38.0
6,motility,33.0
7,known,31.0
8,appendicitis,30.0
9,infarction,28.0
10,gradient_echo,23.0
11,fever,19.0
12,pigmented_villonodular_synovitis,15.0
13,absence,13.0
14,coronary_artery,12.0
15,count,12.0
16,growth,12.0
17,empyema,12.0
18,left_main_coronary_artery,11.0
19,hypointensity,11.0
20,pseudocyst,9.0
21,rectal_contrast,9.0
22,shape,8.0
23,encephalomalacia,8.0
24,t2_hyperintensity,6.0
25,versus,0.0
26,shoulder_girdle,0.0
27,oligemia,0.0
28,olfactory_groove,0.0
29,restrictive,0.0
30,smooth_muscle_tumor,0.0
31,retina,0.0
32,myxoid_liposarcoma,0.0
33,temperature,0.0
34,mucinous,0.0
35,horseshoe_kidney,0.0
36,monteggia_fracture,0.0
37,organ_system,0.0
38,skeletal_survey,0.0
39,infant,0.0
40,atlas,0.0
41,hirschsprung_disease,0.0
42,venous_flow,0.0
43,diaphyseal_fracture,0.0
44,hypoenhancing,0.0
45,shadowing,0.0
46,rounded,0.0
47,nasopharynx,0.0
48,duodenum,0.0
49,cutaneous,0.0
50,arteriovenous_malformation,0.0
51,incomplete_lissencephaly,0.0
52,graft,0.0
53,melanotic_schwannoma,0.0
54,reported,0.0
55,ultrasonography,0.0
56,cardiac_apex,0.0
57,viable,0.0
58,clubbing,0.0
59,axillary_artery,0.0
60,aspiration_of_fluid,0.0
61,posterior_vertebral_scalloping,0.0
62,gallbladder_wall,0.0
63,hypo,0.0
64,expiration,0.0
65,female_urethra,0.0
66,solitary_bone_cyst,0.0
67,sacrum,0.0
68,parenteral,0.0
69,pulmonary_hemorrhage,0.0
70,dysphagia,0.0
71,hilum,0.0
72,radial,0.0
73,serous_sac,0.0
74,sprengel_deformity,0.0
75,solid_and_papillary_epithelial_neoplasm,0.0
76,basilar_artery,0.0
77,axial_plane,0.0
78,oral_cavity,0.0
79,portable,0.0
80,pia_mater,0.0
81,diameter,0.0
82,susceptibility_artifact,0.0
83,epiglottitis,0.0
84,distended,0.0
85,healed,0.0
86,aerated,0.0
87,quadriceps_muscle,0.0
88,alignment,0.0
89,articular_cartilage,0.0
90,bearing,0.0
91,intramedullary_space,0.0
92,hepatitis,0.0
93,hypertrophy,0.0
94,smooth,0.0
95,graft_versus_host_disease,0.0
96,mitral_valve,0.0
97,fetal_hydrops,0.0
98,left_superior_intercostal_vein,0.0
99,monoarticular,0.0
100,congenital,0.0
101,partial_anomalous_pulmonary_venous_return,0.0
102,synthetic_graft,0.0
103,right_lateral_ventricle,0.0
104,satisfactory,0.0
105,sporadic,0.0
106,middle_cerebral_artery,0.0
107,retropharyngeal_space,0.0
108,small_intestine,0.0
109,probable,0.0
110,chemo,0.0
111,ground_glass_attenuation,0.0
112,t2,0.0
113,deltoid,0.0
114,staghorn_calculus,0.0
115,thyroid_cancer,0.0
116,polyarticular,0.0
117,sacral_region,0.0
118,mullerian_duct_cyst,0.0
119,inspiration,0.0
120,intravenous,0.0
121,larsen,0.0
122,hemangioma,0.0
123,longitudinal,0.0
124,demyelination,0.0
125,lymphatic_duct,0.0
126,abdominal_wall,0.0
127,orbital_pseudotumor,0.0
128,toddler_fracture,0.0
129,enterostomy,0.0
130,pericardium,0.0
131,caudate_nucleus,0.0
132,tunnel_view,0.0
133,beak_sign,0.0
134,high_risk,0.0
135,right_clavicle,0.0
136,ossification,0.0
137,intrapericardial,0.0
138,atherosclerosis,0.0
139,port,0.0
140,transverse_ligament,0.0
141,endotracheal,0.0
142,chemical_shift_artifact,0.0
143,barium,0.0
144,patellar_apex,0.0
145,neurocutaneous_syndrome,0.0
146,second_toe,0.0
147,lucent,0.0
148,treatment,0.0
149,ununited,0.0
150,at_rest,0.0
151,small_joint,0.0
152,sacral_nerve,0.0
153,thoracic_cavity,0.0
154,bursa,0.0
155,motor_cortex,0.0
156,meningocele,0.0
157,skeletal_system,0.0
158,nasoenteric_feeding_tube,0.0
159,ptosis,0.0
160,calcifications,0.0
161,calyx,0.0
162,regeneration,0.0
163,intraabdominal,0.0
164,inguinal_canal,0.0
165,disease_progression,0.0
166,heart,0.0
167,infusion,0.0
168,paraovarian,0.0
169,osteolytic,0.0
170,oblique_view,0.0
171,vascularity,0.0
172,corrected,0.0
173,thrombus,0.0
174,lower_abdomen,0.0
175,lymphangiectasia,0.0
176,perineuroma,0.0
177,interstitial_disease,0.0
178,lymphangioma,0.0
179,specimen,0.0
180,gluteus_maximus,0.0
181,right_vastus_lateralis,0.0
182,pneumonia,0.0
183,anterior_commissure,0.0
184,vagina,0.0
185,contusion,0.0
186,detrusor,0.0
187,tumor_board_presentation_by_dr,0.0
188,homogeneous,0.0
189,long_bone,0.0
