,Term,Attr Score
0,lymphoma,100.0
1,tumor,84.0
2,rhabdomyosarcoma,39.0
3,calcifications,18.0
4,sarcoma,17.0
5,elevated,15.0
6,adjacent,15.0
7,hematoma,15.0
8,osteomyelitis,11.0
9,medium,7.0
10,cystic,5.0
11,thickening,4.0
12,inguinal_hernia,4.0
13,rectum,4.0
14,liver,4.0
15,plexiform_neurofibroma,4.0
16,liposarcoma,3.0
17,telangiectatic_osteosarcoma,3.0
18,sinuses,3.0
19,chronic,3.0
20,enhancing,3.0
21,clear_cell_sarcoma,2.0
22,hydronephrosis,2.0
23,hemorrhage,1.0
24,medulloblastoma,1.0
25,neuroblastoma,1.0
26,metastasis,1.0
27,chondrosarcoma,1.0
28,shunt,0.0
29,torsion,0.0
30,healing,0.0
31,isointense,0.0
32,focal,0.0
33,foreign_body,0.0
34,invasion,0.0
35,carcinoid_tumor,0.0
36,retinoblastoma,0.0
37,hygroma,0.0
38,bursitis,0.0
39,circumscribed,0.0
40,fibrosarcoma,0.0
41,nerve_root,0.0
42,valvular_heart_disease,0.0
43,osteogenesis_imperfecta,0.0
44,vault_of_nasopharynx,0.0
45,floor,0.0
46,acroosteolysis,0.0
47,extension,0.0
48,absent,0.0
49,diminished,0.0
50,lunate,0.0
51,cementoma,0.0
52,chest_wall,0.0
53,thumb,0.0
54,rhabdomyolysis,0.0
55,sonography,0.0
56,cysticercosis,0.0
57,lymphoid_tissue,0.0
58,osteoblastoma,0.0
59,partial_anomalous_pulmonary_venous_connection,0.0
60,pituitary_macroadenoma,0.0
61,ewing_sarcoma,0.0
62,prostate,0.0
63,diaphragmatic_rupture,0.0
64,coronal,0.0
65,subependymal_giant_cell_astrocytoma,0.0
66,posterior_urethral_valve,0.0
67,inflammatory_bowel_disease,0.0
68,patent_ductus_arteriosus,0.0
69,pseudoaneurysm,0.0
70,unilateral,0.0
71,asymmetry,0.0
72,sickle_cell_disease,0.0
73,bowed,0.0
74,abscess,0.0
75,duodenitis,0.0
76,biliary,0.0
77,pseudocyst,0.0
78,pulmonary_artery,0.0
79,acl_tear,0.0
80,paraovarian,0.0
81,avulsion,0.0
82,echo_planar,0.0
83,vertebra,0.0
84,hydrops,0.0
85,ultrasonography,0.0
86,thick,0.0
87,spondylitis,0.0
88,fourth_ventricle,0.0
89,sprain,0.0
90,goiter,0.0
91,transverse_colon,0.0
92,metabolism,0.0
93,ventricular_septal_defect,0.0
94,ollier_disease,0.0
95,nodular,0.0
96,achondroplasia,0.0
