,Term,Attr Score
0,dysplasia,100.0
1,tumor,82.0
2,lymphoma,77.0
3,rhabdomyosarcoma,44.0
4,dislocation,32.0
5,single,28.0
6,severe,24.0
7,calcifications,20.0
8,sarcoma,20.0
9,elevated,18.0
10,hematoma,16.0
11,adjacent,13.0
12,osteomyelitis,13.0
13,pericarditis,8.0
14,osteogenesis_imperfecta,7.0
15,urethral,6.0
16,multiple,5.0
17,liver,5.0
18,thickening,5.0
19,testis,5.0
20,cystic,5.0
21,meningocele,5.0
22,renal_cell_carcinoma,4.0
23,fluid,4.0
24,lipoma,4.0
25,telangiectatic_osteosarcoma,4.0
26,sinusitis,3.0
27,chronic,3.0
28,capillary_hemangioma,3.0
29,clear_cell_sarcoma,3.0
30,hydronephrosis,2.0
31,hemorrhage,2.0
32,simple,2.0
33,metastasis,2.0
34,neuroblastoma,1.0
35,tunica_albuginea,1.0
36,chondrosarcoma,1.0
37,shunt,0.0
38,torsion,0.0
39,healing,0.0
40,isointense,0.0
41,focal,0.0
42,foreign_body,0.0
43,invasion,0.0
44,carcinoid_tumor,0.0
45,retinoblastoma,0.0
46,hygroma,0.0
47,bursitis,0.0
48,circumscribed,0.0
49,fibrosarcoma,0.0
50,nerve_root,0.0
51,valvular_heart_disease,0.0
52,vault_of_nasopharynx,0.0
53,floor,0.0
54,acroosteolysis,0.0
55,extension,0.0
56,absent,0.0
57,diminished,0.0
58,lunate,0.0
59,cementoma,0.0
60,chest_wall,0.0
61,thumb,0.0
62,rhabdomyolysis,0.0
63,sonography,0.0
64,cysticercosis,0.0
65,lymphoid_tissue,0.0
66,osteoblastoma,0.0
67,partial_anomalous_pulmonary_venous_connection,0.0
68,pituitary_macroadenoma,0.0
69,ewing_sarcoma,0.0
70,prostate,0.0
71,diaphragmatic_rupture,0.0
72,coronal,0.0
73,subependymal_giant_cell_astrocytoma,0.0
74,posterior_urethral_valve,0.0
75,inflammatory_bowel_disease,0.0
76,patent_ductus_arteriosus,0.0
77,pseudoaneurysm,0.0
78,medulloblastoma,0.0
79,unilateral,0.0
80,asymmetry,0.0
81,sickle_cell_disease,0.0
82,bowed,0.0
83,abscess,0.0
84,duodenitis,0.0
85,biliary,0.0
86,pseudocyst,0.0
87,pulmonary_artery,0.0
88,acl_tear,0.0
89,paraovarian,0.0
90,avulsion,0.0
91,echo_planar,0.0
92,vertebra,0.0
93,hydrops,0.0
94,ultrasonography,0.0
95,thick,0.0
96,spondylitis,0.0
97,fourth_ventricle,0.0
98,sprain,0.0
99,goiter,0.0
100,transverse_colon,0.0
101,metabolism,0.0
102,ventricular_septal_defect,0.0
103,ollier_disease,0.0
104,nodular,0.0
105,achondroplasia,0.0
106,vessel,0.0
107,bone_cyst,0.0
108,cystic_partially_differentiated_nephroblastoma,0.0
109,talus,0.0
110,cellulitis,0.0
111,coarctation,0.0
112,protein,0.0
113,bile_duct,0.0
114,dorsal,0.0
115,tonsillitis,0.0
116,lower_extremities,0.0
117,malrotation,0.0
118,colloid_cyst,0.0
119,neurenteric_cyst,0.0
120,pheochromocytoma,0.0
121,narrow,0.0
122,congenital_diaphragmatic_hernia,0.0
123,osteolysis,0.0
124,incarcerated_hernia,0.0
125,spinal_cord,0.0
126,fused,0.0
127,anterior,0.0
128,cardiomyopathy,0.0
129,vagina,0.0
130,avascular,0.0
131,dermoid,0.0
132,ventricular_septum,0.0
133,hypovascular,0.0
134,fibrous_dysplasia,0.0
135,synovial_osteochondromatosis,0.0
136,phytobezoar,0.0
137,angiosarcoma,0.0
138,morphology,0.0
139,left_ventricle,0.0
140,parotid_gland,0.0
141,hypodense,0.0
142,acute,0.0
143,tumoral_calcinosis,0.0
144,diastrophic_dysplasia,0.0
145,right_lung,0.0
