pseudocyst,2
pineoblastoma,1
tibial,5
head,1
cellulitis,3
wrist,6
trapping,1
nerve,3
calculus,1
weighted,2
extravasation,3
cholelithiasis,1
spasm,2
neuropathic,1
choroid,2
lungs,4
polyp,2
valve,4
nervous,1
obstruction,9
crest,1
thin,1
several,8
capital,1
solid,8
dilatation,7
homogeneous,1
probable,1
normal,21
fat,2
caroli,1
hypertrophic,7
cardiomyopathy,2
marked,3
shadowing,3
appendix,2
parotid,2
corrected,1
fibrosis,1
hyperplastic,2
perforation,3
scattered,1
atypical,4
single,1
pneumomediastinum,2
shape,2
echogenicity,1
chance,2
thalassemia,1
entrapment,2
chondrosarcoma,1
tear,1
smooth,2
monteggia,2
pedunculated,1
wandering,2
facet,1
submandibular,1
postoperative,1
hepatoblastoma,1
edema,10
corpus,1
ebstein,1
central,3
tracheoesophageal,1
meconium,6
mouth,2
neuroblastoma,9
dilated,6
polyarteritis,1
canal,3
fasciitis,1
catheter,1
acoustic,1
calcifications,4
hydronephrosis,1
cortical,12
caffey,2
spontaneous,3
transverse,1
bronchiectasis,1
type,1
pediatric,1
ductal,2
pneumonia,2
syndrome,7
hemorrhagic,5
adenocarcinoma,1
neurogenic,1
osteosarcoma,4
tracheostomy,1
clavicle,1
posterior,28
hygroma,1
vaginal,1
regional,1
intimal,1
hymen,1
pelvis,1
ventricular,2
ruptured,3
mucosa,3
granulation,1
deep,1
rectum,1
necrotizing,3
imperfecta,2
origin,2
hematoma,16
carotid,1
picc,1
absence,4
herniation,2
decreased,1
malrotation,5
truncus,1
osteopetrosis,3
radial,7
ollier,2
coronary,2
maxillary,1
humerus,4
pyelonephritis,3
inferior,8
metaphysis,1
lining,1
previous,1
narrowed,1
synostosis,3
arcs,1
dehiscence,1
hypodense,2
elbow,8
intra-articular,3
fetal,1
gynecomastia,1
sturge-weber,2
intraparenchymal,1
opacity,2
insertion,2
sacrum,1
sigmoid,2
fluoroscopic,2
sclerotic,2
sarcoma,7
superficial,1
distended,3
multilocular,2
septum,1
intussusception,10
sclerosing,1
intracranial,2
infarct,3
liver,10
surface,1
diaphragmatic,3
cystic,17
knee,1
tenosynovitis,1
vein,17
chordoma,2
indistinct,1
osgood-schlatter,1
scapula,2
semicircular,1
compression,2
kidney,14
thrombosis,12
space,1
didelphys,2
intermediate,1
veins,3
thinning,2
pseudotumor,1
lumbar,2
plagiocephaly,1
lingual,1
bright,1
stromal,1
germinoma,1
malposition,1
tortuous,1
distraction,1
angiofibroma,2
choanal,1
auditory,1
scoliosis,1
apical,2
disease,26
total,6
pheochromocytoma,1
enlarged,5
lymphadenopathy,2
caliber,1
chondrolysis,2
thickened,2
umbilical,1
joint,4
hypertrophy,3
croup,1
csf,1
unknown,2
rounded,1
epicondyle,1
fibrous,3
regression,2
infiltration,2
pressure,1
transplant,2
plate,1
forearm,2
after,1
surgery,4
third,1
defect,9
pseudarthrosis,1
nasal,5
hyperparathyroidism,2
ileum,1
bursitis,1
proximal,21
septal,10
bowel,13
routine,1
hepatomegaly,1
stress,1
unremarkable,2
suture,2
fibula,2
midgut,4
ulnar,2
tumoral,1
bucket,1
graft-versus-host,1
melanoma,1
rubella,1
metatarsal,1
coalition,2
fragment,1
infant,1
osseous,2
hemithorax,1
brain,7
lipoma,3
density,14
basilar,3
chondrodysplasia,4
spherical,1
structure,3
heterogenous,2
adjacent,9
pneumoperitoneum,1
hamartoma,1
laceration,1
stricture,4
spine,6
round,3
ganglion,1
cholangitis,1
osteoma,1
ureter,2
hemorrhage,10
embolism,1
mesenteric,1
intraperitoneal,3
lung,1
talus,1
extension,8
extraperitoneal,1
unicameral,3
diaphysis,4
cyst,17
renal,16
spinal,1
hiatal,1
mobile,1
continuous,1
abuse,3
belly,1
disc,1
blood,8
focal,5
biliary,3
interhemispheric,1
ethmoid,2
sickle,2
fifth,1
ischemia,2
idiopathic,4
stomach,6
ovaries,2
calcification,9
major,1
testis,1
longitudinal,2
color,2
graft,1
expansion,1
umbilicus,1
villonodular,2
suprasellar,1
ossification,1
biopsy,4
membrane,1
urinoma,1
echogenic,2
proteinuria,1
coronal,11
splenic,1
dysplasia,15
asymmetry,2
langerhans,6
pachygyria,1
hemidiaphragm,1
myofibroblastic,1
mineralization,2
lucent,3
thyroid,3
growth,3
fovea,1
dislocation,5
cortex,3
middle,2
pyloric,2
osteopenia,2
venous,8
calcium,1
switch,1
benign,1
atresia,14
portal,4
return,4
flexion,1
inflamed,1
bladder,11
pedicle,1
ganglioneuroma,3
metopic,1
muscle,4
heterogeneous,5
contour,1
abscess,10
dysgerminoma,1
hyperechoic,3
urachus,2
intramural,4
low,4
sling,4
hemangioma,3
skin,1
pneumonitis,4
aorta,8
kawasaki,5
vertical,1
thrombophlebitis,1
salivary,1
aggressive,1
occlusion,1
sprengel,1
fallopian,1
calcaneus,3
hypointense,1
necrosis,5
contrast,1
avulsion,3
spect,1
synovitis,2
dissecans,2
amount,2
physis,6
osteoid,1
ultrasound,7
subcortical,2
present,9
radius,6
linear,1
callosum,1
medulloblastoma,6
duct,1
infrarenal,1
patent,3
artery,22
transection,1
pancreatoblastoma,1
ovary,11
lymphadenitis,1
nephroma,2
hemoperitoneum,2
diaphragm,2
toddler,1
pigmented,2
periventricular,3
fallot,1
wing,1
ischemic,5
plug,1
innumerable,2
prostatic,1
caudal,2
developmental,3
diverticulum,2
enhancement,6
neural,1
terminal,1
epiglottitis,1
uterine,1
partially,2
midline,2
chronic,13
mixed,2
parallel,2
cherubism,1
gastric,3
malformation,4
chondroid,2
gland,3
polymicrogyria,1
cerebellum,1
pyriform,1
filum,1
atria,1
lingula,1
limited,1
foramen,2
partial,3
fibular,1
hirschsprung,2
encephalitis,1
left,21
osteochondroma,1
amylase,1
t1,1
solitary,1
protein,1
wall,3
narrow,1
lytic,2
shallow,1
osteochondromatosis,1
border,2
pneumatosis,2
sternum,1
optic,2
polypoid,1
colon,5
translation,1
coarse,1
astrocytoma,4
median,2
apophysis,1
known,6
quadrant,4
failure,2
base,1
diffuse,6
hepatic,1
atelectasis,3
collapse,1
scaphoid,1
waters,1
neurofibromatosis,5
viable,1
greenstick,1
congenital,32
impingement,2
extremity,1
leptomeningeal,1
foreign,2
fibroblastic,1
vessels,4
mucopolysaccharidosis,3
chest,19
arthropathy,3
globe,1
apophysitis,1
osteomyelitis,10
anterolateral,3
ileus,2
leukemia,5
injury,12
anomalous,4
open,1
retention,1
sclerosis,7
ductus,1
hyperintense,4
skeletal,2
inguinal,2
attenuation,4
pleural,4
dislocated,1
and,2
mature,4
volvulus,7
nodosa,1
tethered,2
mediastinum,1
calcinosis,1
bone,13
dermoid,1
enchondromatosis,3
reaction,1
hepatocellular,1
jugular,1
intraluminal,1
gallbladder,2
flap,1
sheath,1
arteriosus,1
line,1
lobe,4
handle,1
osteochondrosis,1
granuloma,3
chiari,1
invasion,2
uncertain,1
thick,3
intra-abdominal,2
rupture,8
arterial,1
primary,1
asplenia,3
serosanguinous,1
septic,2
upj,1
saturation,2
duplication,7
respiratory,4
fetus,3
pancreatitis,5
arteriovenous,2
aortic,17
jones,1
skull,5
incomplete,1
thyroglossal,1
diminished,1
fourth,3
myocardium,1
complicated,5
bones,9
malignant,5
choledocholithiasis,1
expansile,3
teratoma,10
osteochondritis,2
high,1
infarction,3
hydrocephalus,1
acute,22
hernia,7
premature,4
pericardium,1
well-defined,3
internal,2
eosinophilic,1
lissencephaly,2
reflux,5
fibrocartilage,1
tuberculosis,5
macroscopic,2
narrowing,1
lesser,1
tract,1
large,18
brainstem,2
coalescent,1
obscured,1
rhabdoid,7
nuclear,1
matter,3
coarctation,7
multiple,25
post-op,2
sphenoid,2
